Cuisine,NumberOfReviews,Rating,Recommended,RestaurantID
Chinese,940,4.5,1,X8ZS-dgiMIJvhwf9SaDnjw
Chinese,477,4.5,1,lynQoI3w_pzYfHGeuUU-Qg
Chinese,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
Chinese,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Chinese,1676,4.5,1,PBUIaPtgnhmdHE3KHglK-g
Chinese,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Chinese,638,4.5,1,FlZ1zdVEKWv7dwqm8Uw8-w
Chinese,529,4.5,1,wGFSTTB6b4MHJJUzBnVJeg
Chinese,578,4.5,1,a-Bq_yXFVk2PptoWpmry3w
Thai,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Thai,529,4.5,1,wGFSTTB6b4MHJJUzBnVJeg
Thai,578,4.5,1,a-Bq_yXFVk2PptoWpmry3w
Thai,443,4.5,1,3GMHPnrkFAcqffw3T7JSdQ
Thai,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Thai,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
Thai,529,4.5,1,mESab-FqL5QqSVsnX72asQ
Thai,1400,4.5,1,j0n_poMVZnODYOFviLbh0Q
Thai,486,4.5,1,TcuWyuZAORVnQBPCMNbTgw
Indian,1158,4.5,1,x0k5kFArHLijdY8-NEQ7Xg
Indian,1151,4.5,1,sCC7-hSdCkNPExejZT9BAQ
Indian,687,4.5,1,9pMhRYYgV7E9L7pzECtJKA
Indian,1023,4.5,1,lxNU-aBq0yPwBDx-i89ahA
Indian,447,4.5,1,tIjQyHOubGeKRnx4wSwOeA
Indian,1400,4.5,1,j0n_poMVZnODYOFviLbh0Q
Turkey,652,4.5,1,3Ic4C60oSH1cV2jknUXSjQ
Turkey,434,4.5,1,OTpQbSQNGiGudqJKJASmpw
Japanese,638,4.5,1,FlZ1zdVEKWv7dwqm8Uw8-w
Japanese,422,4.5,1,ytABgZNWnFXQUjOYjh460A
Japanese,529,4.5,1,mESab-FqL5QqSVsnX72asQ
Japanese,637,4.5,1,8fr5FYU1ip0phERt1mrekg
Japanese,424,4.5,1,TBp9gdS6xEbSQqffVZ7iag
Japanese,1083,4.5,1,zGAQqDu0Ak2khVYs9WdQxw
Japanese,486,4.5,1,TcuWyuZAORVnQBPCMNbTgw
Japanese,429,4.5,1,diCW3Pj1PTVRSyol_d7cZw
Japanese,496,4.5,1,wSGZA3DOFSUvALZRKCM_Sw
Japanese,1382,4.5,1,JUPxlDVMxuRSsqMcH6RCVg
Japanese,846,4.5,1,FoR70YoGSb4_QavCe1WZEw
Japanese,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Japanese,641,4.5,1,lESxFswvOPUFUzj6HsTnqw
Japanese,466,4.5,1,fVsH6QIJPzXpVbgmeiolsA
Japanese,1439,4.5,1,B3_K2kUVbYOU0VaLcj_LTw
Japanese,462,4.5,1,4CAJ-JvgbzBdoWq1CXtCFw
Japanese,421,4.5,1,LpVbI-E9C-CSp7WhU5h2Iw
French,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
French,1454,4.5,1,FiRB9Ek3Xo9JHwXgBYITYg
French,415,4.5,1,s3jou_L_LVYGkNHiuhjlew
French,2104,4.5,1,vRrVSB-LegwUwIxpkeRVtQ
French,1378,4.5,1,1DfbZ0VsSCg9g1KILmnvzQ
French,542,4.5,1,50fWXrNECQQYght4ZWeBXQ
French,1676,4.5,1,PBUIaPtgnhmdHE3KHglK-g
French,757,4.5,1,t-ODuKsmRseJoTEVKQzsdg
French,1363,4.5,1,DZaN3bNWfwcm__sNw5bvDg
French,1770,4.5,1,nRO136GRieGtxz18uD61DA
French,1523,4.5,1,ehUuSk5gPTCQmwS_ubgKRA
Spanish,490,4.5,1,cUyfnb3E7HvzNfbTgTjl_Q
Spanish,672,4.5,1,KfZI6oovMvG5tLd0NFBeKQ
Spanish,607,4.5,1,WqjqHMozyW42XLTtLnKGag
Spanish,412,4.5,1,9YXvNE2jpEhA4k6M8WDH7A
Spanish,538,4.5,1,26E3j9l0XW_onVIUP-ThCw
Spanish,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
Spanish,1089,4.5,1,hJrZIHNRVUuC_PXAORxj9g
Spanish,820,4.5,1,fVbUVAiLiGgLA_nxBFxyww
Spanish,683,4.5,1,zekbMn7KWtzxTFLtfEqb1w
Spanish,835,4.5,1,c3D2ckzacnPtdGIM8tb-_w
Spanish,1136,4.5,1,f8TZ_ctcSwxwW8S69YKnwg
Italian,1475,4.5,1,rp8S7scxOkVVeG7dNneMGQ
Italian,875,4.5,1,jdNdy-MwBtnXoBGC_JVvwQ
Italian,757,4.5,1,A2DV-AQIXRYUMu5Ak5mjxg
Italian,444,4.5,1,MeUq9lombxM9alxs64tejQ
Italian,469,4.5,1,abZ-mEvF6Tj4hfyIg0lKwQ
Italian,436,4.5,1,OLa3-KQO9rHjswo55E3Jgg
Italian,835,4.5,1,c3D2ckzacnPtdGIM8tb-_w
Italian,454,4.5,1,8qSOz7oTPUUCafsMOBBNEQ
Italian,1711,4.5,1,zj8Lq1T8KIC5zwFief15jg
Italian,767,4.5,1,1ZKbUeFAs0ltSnAYq4ELKw
Italian,407,4.5,1,ADHX7nBixDPVlq3OXhny0g
Italian,664,4.5,1,06tnwnEQM2j9A6dC3HC_TQ
Italian,1136,4.5,1,f8TZ_ctcSwxwW8S69YKnwg
Italian,1980,4.5,1,ETgJqJHV7BW6pIr9Ox74sA
Italian,581,4.5,1,b6jOwyX4iaagw8YjXqq1sA
Italian,1050,4.5,1,pGr5QuQU7Ur5GHLvXbT8bw
Italian,607,4.5,1,WqjqHMozyW42XLTtLnKGag
Italian,434,4.5,1,OTpQbSQNGiGudqJKJASmpw
Italian,518,4.5,1,Aazjxg21VH2cncWYBAv68Q
Italian,493,4.5,1,oRdM7n-AfBPBGAlH4Q0Sag
Mexican,579,4.5,1,6Ct7OeTRn4caY9g0swFBsw
Mexican,517,4.5,1,SULHf6nGQ8sK0UpG1XU30w
Mexican,2131,4.5,1,jnEv25Y2DosTq2sNnvmC9g
Mexican,1329,4.5,1,MfbVI5reXLIIs8Cc2HwgQw
Mexican,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Mexican,607,4.5,1,WqjqHMozyW42XLTtLnKGag
Mexican,483,4.5,1,Ck09FempamAKGSPsV_bX-A
Mexican,447,4.5,1,tIjQyHOubGeKRnx4wSwOeA
Mexican,470,4.5,1,ZZxYVgodx2TxbYwh-0YU1w
Chinese,385,2.5,0,_RhAY03oEBw9HNwUAJyBCw
Chinese,426,3,0,v2dtG37r1ThqtfEfiFsAUg
Chinese,480,3,0,g_5V15Xp1OvB1QXuGMstYA
Chinese,443,3,0,RoXFN-T1s6moM5smbY_5Gw
Chinese,293,3,0,s25mujxKWphsyFm0Ji1xYA
Chinese,324,3,0,PGeL1b4xNJggpZsHEGoxjg
Chinese,622,3,0,lpLd3AFaMOV7LfPtvUiq8A
Chinese,309,3,0,5uTJ_4fWfT1ImuwCLN9xGA
Chinese,704,3,0,Te2iLepC0UrJRzVKexFukQ
Chinese,415,3,0,EDLKX7cCxPbmbmo1XG3xJQ
Thai,288,3,0,56BXqZZ09-p1Lfw3ZDjV4A
Thai,256,3,0,LzyDj8z2CA03Jrs34L9Pgw
Thai,258,3,0,n61FbfvTddHBXF5WKWjF4g
Thai,447,3,0,sXA1aTe4MVUgBpQUiISAyg
Thai,308,3,0,CFIOL_GmkAuJyz3fKc7WYg
Thai,341,3,0,oS1e-zZ_qzZNIUEp3FYHhQ
Thai,285,3,0,PiOv4vMRLaJJoqt_Eyebvw
Thai,293,3,0,s25mujxKWphsyFm0Ji1xYA
Indian,261,3,0,5faOK0osoS-zdEwT21S-Cg
Indian,835,3,0,1SgiWHlFN5mp5gNLSGx2Ww
Indian,256,3,0,o5sUOmtzcHAeSWtUuFJ00g
Turkey,675,3,0,60_ONUWGij1TbvDHSEcOpQ
Turkey,389,3,0,hD55NUiGDK7STQ8oy9QDPA
Japanese,460,3,0,zj4vqgljRhxwWlvttgFRKQ
Japanese,394,3,0,Ycz0lIQObftqCnJJvln2WQ
Japanese,306,3,0,Cx8VCw7e918oH0qhDCmjpA
Japanese,279,3,0,g556-c5nqX09MCjL3SlPAg
Japanese,304,3,0,aMUu0H6jsUDqdmSuAZeZsg
Japanese,1247,3,0,FPuOTMD-dmXTFz3rUsEkMg
Japanese,380,3,0,6x36O0p7akyaEQxeaKFbwg
Japanese,1499,3,0,7VqMGK9uwi0vKqOjdKyIUA
Japanese,821,2.5,0,dz88dkY9JaoXe2sF8MSjVQ
French,389,3,0,hD55NUiGDK7STQ8oy9QDPA
French,406,3,0,QvQilClGyuKFz08TBsoJNA
French,469,3,0,Su-MRJLlxUtjU_-V5viYYA
French,466,3,0,15_ODtslmB59M-FxU-mvUQ
French,328,3,0,WS0ipFMNDJDy_MOylP-JGw
French,253,3,0,H-6xYovzB8AKZb14bmYnWg
French,990,3,0,eVBVn6bjwl_mMLxN-35_6w
Spanish,325,3,0,Qj5Wvq6jufSFgJd4dDb_Sg
Spanish,327,3,0,2F8_E_AU9CK0aiEOfBP1FA
Spanish,279,3,0,g556-c5nqX09MCjL3SlPAg
Spanish,259,2.5,0,09-VdEHo3bTiv3wRmJcBnQ
Spanish,1178,3,0,liaw_m73XvOmEiB8e1Vqkw
Spanish,825,3,0,6E1FMOKa4NvVEIo3ftT7bA
Italian,471,3,0,u5zbsITgkFbAlRq0j-XE-g
Italian,294,3,0,geTFpY84Tp-nVTXflnxtDA
Italian,251,3,0,ywP0OEqRC6sp4NK1-QhW-g
Italian,254,3,0,gU6_qALmeWysg2YXMzMrtw
Italian,334,3,0,ufntl2yxDlAzPJ6G73eAcQ
Italian,258,3,0,GOEBF8Odq1SPdz4PWJx6PQ
Italian,310,3,0,hFeGYPt9M5dd_KXG9a_ePQ
Italian,699,3,0,FCl5446Rovk1HRHoXpojdg
Italian,847,3,0,5xeTONqSB8hIXdPkhQQW7g
Italian,430,3,0,SbevrHJ2M5Oc8_SHi79YQg
Italian,496,3,0,8TEx2Za-zM_pP5MU1t8HxQ
Italian,429,3,0,BP0Uujyof1WKGkLuPbTLKQ
Italian,347,2.5,0,0zxGc7hit7mFSk2o1PvIdQ
Italian,319,3,0,d7LM2UaxRQachlWhZGP_tg
Italian,295,3,0,7dhXkHB_Eg1UJ7Yf9wQCjQ
Italian,303,2.5,0,EkueKakBOazLteBREvD_qA
Italian,532,3,0,XPuCR_UaPliuNQMzU2pNlQ
Mexican,1365,3,0,hGWYNCUmDLk_H_Mu3oV9HA
Mexican,428,3,0,i0CffTc5rmXjQOqq7g3I6Q
Mexican,869,3,0,zxdsVR_hHUzhBFfus4yd7A
Mexican,1077,3,0,0u411BT5S3hGdnjkQ3eLOA
Mexican,306,3,0,foAYWheDCF9wUyKPuOGYow
Mexican,475,3,0,LyCE268_fz_MAZieFZY1lA
Mexican,378,3,0,NvyOagUcodDPHSDF5Vhbmg
Mexican,355,3,0,UBqLK5kg0kT72CIaBYa5Zg
Mexican,673,3,0,RyEd54MOTc5OcYtOiDt11g
Mexican,305,3,0,h7_M3CISwvFVqgLG8xcSbQ
Mexican,284,3,0,9OUXhF3r1CVF8jahUanMbg
Mexican,423,3,0,j4ZaQA8Ht9MFKz942uRG7g
Mexican,359,3,0,hrswGldQVdR9OJRtqp0TxA
Mexican,298,3,0,xNgaGyePJ7fyZ9D0J74-3A
Mexican,272,2.5,0,sul_ihulQ5VUPNbk9liWqA
Mexican,536,2.5,0,TYVIfbcJ3YT4CP1roKMshg
Mexican,624,3,0,zxMoUHqFiI3rKoKdY8SFwg
Mexican,287,2.5,0,441p9X0RMR4epB_yOHs73A
Mexican,648,2.5,0,POGfmcCkuLpkP_Vz98DuwQ
Mexican,407,3,0,wtQHeGI3L04xCJ5jODsRlg
Mexican,316,3,0,jgFMmMnwipOBv8jOUQpjRQ
Mexican,502,3,0,2WjCRp9PwNzM-6HrY1V2Gw
Mexican,257,2.5,0,iV4Qm5DnGChgrnbYG20ASw
Mexican,327,3,0,2F8_E_AU9CK0aiEOfBP1FA
Mexican,391,2.5,0,zBORlLYwMqqJ_GOX6K31mw
Mexican,420,2,0,ETiWBqqeYmr_9U4L5CJaig
Indonesian,254,3,0,S-jThCG_S-7_xtm75nkB2Q
Filipino,251,3,0,Fbt32h6hv56IyczrurIq3A
Filipino,1414,3,0,wrFoBJM9SsHIfz2VaqgmSg
Filipino,254,3,0,S-jThCG_S-7_xtm75nkB2Q
Pakistani,265,3,0,bVyA5z69287U9B9W88hERg
Pakistani,415,3,0,WrMu2G5M2im56uYKTd4Bgw
Vietnamese,338,3,0,QnTtcog-IEXAtB0UVmxNsQ
Vietnamese,256,3,0,LzyDj8z2CA03Jrs34L9Pgw
Mexican,412,4.5,1,9YXvNE2jpEhA4k6M8WDH7A
Mexican,1057,4.5,1,z5hRX3iJ5Ty_S38iG_WY3Q
Mexican,672,4.5,1,KfZI6oovMvG5tLd0NFBeKQ
Filipino,496,4.5,1,8WnHtvMdPWE66eSkUdbLhQ
Filipino,8758,4.5,1,xEnNFXtMLDF5kZDxfaCJgA
Filipino,490,4.5,1,cUyfnb3E7HvzNfbTgTjl_Q
Chinese,318,3,0,LwEzFDBX-nUHYHgAddfaxA
Chinese,409,3,0,JaKLZrh1Y_2qB_0Gc3bk3A
Chinese,329,3,0,NZb6ILmE0p4gQ5harzrAvA
Chinese,275,3,0,2lJwfmyRKO8zFz5Xuiw11w